Rank,Restaurant,Sales,YOY_Sales,Units,YOY_Units,Segment_Category
109,Chuck E. Cheese's,381,-0.50%,537,1.30%,Pizza
110,Taco John's,373,0.50%,387,-1.30%,Mexican
111,Texas de Brazil Churrascaria,370,10.50%,58,9.40%,Steak
112,Cold Stone Creamery,369,-2.30%,895,-0.90%,Frozen Desserts
113,Blaze Pizza,366,12.40%,313,5.70%,Pizza
114,Peet's Coffee,357,4.30%,423,2.20%,Coffee Cafe
115,Dickey's Barbecue Pit,349,-9.20%,497,-6.40%,BBQ
116,Zoes Kitchen,348,1.20%,256,-1.50%,Sandwich
117,Corner Bakery_Cafe,348,-3.90%,175,-3.80%,Bakery Cafe
118,Krystal Co.,343,-9.00%,318,-10.70%,Burger
119,Benihana,340,1.60%,71,0.00%,Asian
120,Cooper's Hawk Winery & Restaurants,338,19.90%,41,17.10%,Varied Menu
121,Big Boy/Frisch's Big Boy,338,-3.40%,194,-3.00%,Family Style
122,Black Bear Diner,336,15.30%,138,15.00%,Family Style
123,Twin Peaks,335,2.60%,84,0.00%,Sports Bar
124,Schlotzsky's,335,-0.50%,373,0.50%,Sandwich
